,0,1,2,3
IP,35.204.255.178,35.204.115.95,35.204.96.40,35.204.213.24
ACTIVE,93816kB,91424kB,92428kB,92632kB
MEMAVAILABLE,832100kB,1850372kB,833044kB,1847852kB
MEMFREE,868292kB,1890916kB,869408kB,1888348kB
MEMTOTAL,1020416kB,2052468kB,1020416kB,2052468kB
CPUFAMILY,6,6,6,6
CPUMHZ,2000.170,2000.174,2000.184,2000.200
CPUOPMODES,"32-bit,64-bit","32-bit,64-bit","32-bit,64-bit","32-bit,64-bit"
CPUS,1,2,1,2
HYPERVISORVENDOR,KVM,KVM,KVM,KVM
VENDORID,GenuineIntel,GenuineIntel,GenuineIntel,GenuineIntel
HYPERVISORVENDOR,KVM,KVM,KVM,KVM
MODEL,85,85,85,85
MODELNAME,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz,Intel(R)Xeon(R)CPU@2.00GHz
NUMANODE0CPUS,0,"0,1",0,"0,1"
NUMANODES,1,1,1,1
ONLINECPUSLIST,0,"0,1",0,"0,1"
SOCKETS,1,1,1,1
STEPPING,3,3,3,3
THREADSPERCORE,1,2,1,2
VENDORID,GenuineIntel,GenuineIntel,GenuineIntel,GenuineIntel
VIRTUALIZATIONTYPE,full,full,full,full
